Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp, magnet_pos
22:03:17:475654,0.374055,0.1107,-1.598,-3.867,-1.061,-0.211,-0.077,-0.067,284,-0.0134897,502
22:03:17:480778,0.374032,0.109724,-2.175,-4.825,-0.706,-0.372,-0.087,-0.077,358,-0.00914956,513
22:03:17:485777,0.374046,0.108853,-2.499,-5.927,-0.561,-0.501,-0.095,-0.102,442,-0.00422287,520
22:03:17:490902,0.374055,0.108087,-2.649,-7.548,-0.661,-0.628,-0.11,-0.157,442,-0.00422287,518
22:03:17:495936,0.374059,0.107412,-2.043,-8.198,-0.838,-0.613,-0.097,-0.197,530,0.000938416,507
22:03:17:501027,0.374059,0.106843,-1.06,-7.771,-0.756,-0.538,-0.056,-0.197,623,0.00639296,495
22:03:17:506030,0.374056,0.106368,1.067,-5.834,-0.231,-0.384,0.045,-0.159,623,0.00639296,484
22:03:17:511152,0.374056,0.105982,2.408,-3.938,0.211,-0.273,0.116,-0.125,713,0.0116716,472
22:03:17:516152,0.374041,0.105528,3.309,-0.964,0.506,-0.12,0.164,-0.073,713,0.0116716,461
22:03:17:521278,0.37407,0.104984,2.934,0.61,0.311,-0.044,0.141,-0.035,787,0.0160117,449
22:03:17:526277,0.374056,0.104331,1.173,1.891,-0.217,0.008,0.054,0.025,834,0.0187683,437
22:03:17:531403,0.374043,0.103572,-0.43,2.151,-0.366,0.013,-0.012,0.057,834,0.0187683,431
22:03:17:536402,0.374067,0.10273,-2.558,2.415,-0.136,0.027,-0.108,0.073,845,0.0194135,442
22:03:17:541527,0.374049,0.101772,-3.173,2.9,0.051,0.064,-0.16,0.07,824,0.0181818,454
22:03:17:546528,0.374067,0.100727,-2.435,4.035,-0.039,0.14,-0.172,0.076,824,0.0181818,465
22:03:17:551655,0.374037,0.0995644,-1.241,4.688,-0.268,0.175,-0.112,0.1,784,0.0158358,477
22:03:17:556656,0.374043,0.0983166,0.312,5.103,-0.445,0.202,0.033,0.143,729,0.01261,488
22:03:17:561777,0.374043,0.0969599,0.714,5.219,-0.365,0.241,0.098,0.156,729,0.01261,500
22:03:17:566778,0.374072,0.0955203,0.516,5.899,-0.152,0.391,0.07,0.147,656,0.00832845,511
22:03:17:571778,0.37405,0.0939577,0.242,6.854,-0.048,0.531,-0.006,0.145,656,0.00832845,520
22:03:17:576903,0.374052,0.0923116,0.169,8.469,0.108,0.68,-0.089,0.18,564,0.00293255,520
22:03:17:582031,0.374043,0.0905543,0.625,9.16,0.317,0.662,-0.041,0.236,468,-0.00269795,513
22:03:17:587028,0.374056,0.0887062,0.976,8.683,0.413,0.573,0.044,0.251,468,-0.00269795,502
22:03:17:592031,0.37405,0.0867503,0.89,6.498,0.408,0.402,0.135,0.21,370,-0.00844575,490
22:03:17:597153,0.374064,0.084704,0.168,4.252,0.324,0.288,0.113,0.145,280,-0.0137243,479
22:03:17:602153,0.374073,0.0826156,-1.567,0.329,0.092,0.124,-0.045,0.022,280,-0.0137243,467
22:03:17:607278,0.374074,0.0806223,-2.502,-2.112,-0.126,0.026,-0.166,-0.053,214,-0.0175953,456
22:03:17:612279,0.37407,0.0787312,-2.345,-4.563,-0.367,-0.075,-0.217,-0.123,214,-0.0175953,444
22:03:17:617403,0.374058,0.0769379,-0.955,-5.12,-0.295,-0.107,-0.126,-0.13,181,-0.0195308,433
22:03:17:622403,0.374043,0.0752419,2.078,-4.705,0.213,-0.12,0.112,-0.101,185,-0.0192962,435
22:03:17:627527,0.374032,0.0736489,3.592,-4.116,0.648,-0.116,0.235,-0.08,185,-0.0192962,447
22:03:17:632528,0.374063,0.0721649,3.684,-3.575,1.093,-0.103,0.238,-0.079,217,-0.0174194,458
22:03:17:637654,0.374056,0.0707701,2.473,-3.7,1.158,-0.109,0.131,-0.098,267,-0.0144868,470
22:03:17:642779,0.374053,0.0694798,0.362,-4.774,0.903,-0.197,-0.042,-0.133,267,-0.0144868,481
22:03:17:647780,0.374059,0.0682869,-0.489,-6.019,0.553,-0.325,-0.083,-0.153,329,-0.0108504,493
22:03:17:652779,0.374072,0.0671982,-0.979,-8.124,-0.026,-0.568,-0.024,-0.175,406,-0.00633431,504
22:03:17:657907,0.374054,0.0662029,-1.323,-9.428,-0.4,-0.722,0.034,-0.197,406,-0.00633431,516
22:03:17:662904,0.374043,0.065311,-1.553,-9.436,-0.516,-0.711,0.008,-0.211,491,-0.00134897,520
22:03:17:668032,0.374049,0.0645165,-1.508,-8.29,-0.644,-0.559,-0.089,-0.218,491,-0.00134897,516
22:03:17:673029,0.374065,0.0638296,-1.168,-7.06,-0.734,-0.433,-0.123,-0.204,588,0.00434018,504
22:03:17:678155,0.374054,0.063232,-0.587,-4.871,-0.713,-0.292,-0.065,-0.147,682,0.00985337,493
22:03:17:683154,0.374057,0.0627457,-0.372,-3.257,-0.498,-0.226,0.004,-0.092,682,0.00985337,481
22:03:17:688154,0.374039,0.0623157,-0.246,-0.724,0.039,-0.13,0.05,-0.014,762,0.0145455,470
22:03:17:693279,0.374046,0.0618044,-0.116,0.966,0.374,-0.059,0.024,0.026,816,0.0177126,458
22:03:17:698279,0.374035,0.0611891,0.251,3.367,0.63,0.048,-0.029,0.071,816,0.0177126,447
