Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp, magnet_pos
22:08:15:173113,0.374044,0.114094,0.52,0.18,-0.037,0.019,0.047,0.01,544,0.00175953,620
22:08:15:178192,0.374036,0.113389,0.204,0.163,0.087,0.019,0.009,-0.005,544,0.00175953,620
22:08:15:183259,0.374033,0.112671,-0.245,-0.006,-0.017,0.005,-0.027,0,544,0.00175953,620
22:08:15:188361,0.374035,0.111939,-0.487,-0.206,-0.189,-0.005,-0.042,0.004,544,0.00175953,620
22:08:15:193351,0.37404,0.111192,-0.629,-0.532,-0.386,-0.018,-0.049,0,544,0.00175953,620
22:08:15:198440,0.37405,0.110432,-0.551,-0.669,-0.364,-0.022,-0.043,-0.008,544,0.00175953,620
22:08:15:203444,0.374065,0.109663,-0.24,-0.655,-0.106,-0.022,-0.022,-0.016,544,0.00175953,620
22:08:15:208613,0.374041,0.108867,0.03,-0.538,0.079,-0.018,-0.002,-0.013,543,0.00170088,620
22:08:15:213569,0.374063,0.10807,0.449,-0.376,0.151,-0.013,0.028,-0.003,543,0.00170088,620
22:08:15:218690,0.374047,0.107247,0.692,-0.346,0.073,-0.011,0.042,-0.002,542,0.00164223,620
22:08:15:223711,0.374034,0.106413,0.874,-0.399,-0.015,-0.01,0.043,-0.012,541,0.00158358,620
22:08:15:228863,0.374067,0.105575,0.792,-0.466,0.013,-0.01,0.032,-0.02,541,0.00158358,620
22:08:15:233816,0.37406,0.104714,0.373,-0.605,0.081,-0.013,0.009,-0.019,541,0.00158358,620
22:08:15:238987,0.374057,0.103839,0.026,-0.712,0.078,-0.019,-0.001,-0.013,541,0.00158358,620
22:08:15:243942,0.374057,0.102951,-0.31,-0.804,0.07,-0.029,-0.008,-0.006,541,0.00158358,620
22:08:15:249095,0.374061,0.102049,-0.343,-0.778,0.112,-0.032,-0.01,-0.008,541,0.00158358,620
22:08:15:254071,0.374066,0.101134,-0.254,-0.669,0.152,-0.026,-0.011,-0.015,541,0.00158358,620
22:08:15:259214,0.374073,0.100204,-0.252,-0.623,0.026,-0.018,-0.014,-0.019,541,0.00158358,620
22:08:15:264191,0.374039,0.0992524,-0.265,-0.625,-0.082,-0.016,-0.016,-0.018,541,0.00158358,620
22:08:15:269325,0.374054,0.098296,-0.001,-0.529,-0.084,-0.015,-0.009,-0.011,541,0.00158358,620
22:08:15:274316,0.374066,0.0973246,0.413,-0.354,0.012,-0.012,0.01,-0.004,540,0.00152493,620
22:08:15:279470,0.374039,0.0963323,0.961,-0.06,0.102,0,0.052,0.003,540,0.00152493,620
22:08:15:284442,0.37406,0.0953345,0.919,0.027,0.062,0.006,0.067,0.004,540,0.00152493,620
22:08:15:289574,0.374035,0.0943145,0.151,-0.075,-0.03,0.003,0.038,0,540,0.00152493,620
22:08:15:294615,0.374056,0.0932884,-0.501,-0.219,-0.048,-0.005,-0.011,-0.003,540,0.00152493,620
22:08:15:299694,0.374034,0.0922414,-1.054,-0.356,-0.098,-0.014,-0.084,-0.002,540,0.00152493,620
22:08:15:304692,0.374056,0.0911911,-1.034,-0.345,-0.225,-0.011,-0.098,0,539,0.00146628,620
22:08:15:309817,0.374038,0.0901129,-0.597,-0.224,-0.474,-0.001,-0.056,0.001,539,0.00146628,620
22:08:15:314817,0.374063,0.0890354,-0.134,-0.127,-0.532,0.003,-0.005,0.003,539,0.00146628,620
22:08:15:319993,0.374045,0.0879295,0.625,-0.041,-0.324,0.007,0.054,0.008,537,0.00134897,620
22:08:15:324990,0.374068,0.0868237,0.952,-0.067,-0.06,0.007,0.068,0.009,537,0.00134897,620
22:08:15:330090,0.37405,0.0856903,0.841,-0.274,0.268,-0.002,0.049,0,537,0.00134897,620
22:08:15:335092,0.374075,0.0845571,0.457,-0.479,0.321,-0.014,0.024,-0.012,537,0.00134897,620
22:08:15:340215,0.374054,0.0833956,-0.06,-0.71,0.137,-0.029,-0.008,-0.02,537,0.00134897,620
22:08:15:345219,0.374035,0.0822248,-0.246,-0.743,-0.104,-0.028,-0.025,-0.014,537,0.00134897,620
22:08:15:350323,0.374057,0.0810458,-0.313,-0.728,-0.126,-0.023,-0.029,-0.01,537,0.00134897,620
22:08:15:355322,0.374035,0.0798434,-0.381,-0.785,0.061,-0.023,-0.031,-0.015,537,0.00134897,620
